Rank,Username,Country,Followers,Views,Likes,Engagement,Brand Account,Description,Gender,Age,Ethnicity,Famous,Genre,Income,Education,LGBTQ
31,@lizzza,U.S.A,23.1m,4.5m,1.0m,22.80%,0,"Actress, social media personality",Female,24,South Asian,,,,,
32,@lilhuddy,U.S.A,23.0m,4.9m,1.0m,20.90%,0,Social media personality,Male,18,White,,,,,
33,@jaydencroes,Aruba,23.0m,2.8m,404.2k,14.60%,0,Social media personality,Male,21,White,,,,,
34,@piyanka_mongia,India,22.7m,617.5k,71.5k,11.90%,0,Social media personality,Female,23,South Asian,,,,,
35,@savv.labrant,U.S.A,22.5m,11.6m,1.7m,14.80%,0,Social media personality,Female,27,White,,,,,
36,@avneetkaur_13,India,22.4m,949.0k,113.6k,12.20%,0,Social media personality,Female,19,South Asian,,,,,
37,@joealbanese,U.S.A,21.9m,1.1m,215.0k,19.70%,0,Social media personality,Male,19,White,,,,,
38,@tonylopez,U.S.A,21.8m,10.4m,1.7m,16.70%,0,Social media personality,Male,20,Latinx,,,,,
39,@jamescharles,U.S.A,21.7m,10.6m,1.9m,18.20%,0,Social media personality,Male,21,White,,,,,
40,@cutybeautykhan,India,21.4m,1.7m,192.7k,11.50%,0,Social media personality,Female,19,South Asian,,,,,
41,@gima_ashi,India,21.3m,477.1k,46.5k,9.90%,0,Social media personality,Female,23,South Asian,,,,,
42,@selenagomez,U.S.A,20.9m,10.5m,1.2m,11.50%,0,"Singer, actress, social media personality",Female,28,Latinx,,,,,
43,@joshrichards,U.S.A,20.8m,4.5m,979.4k,22.20%,0,Social media personality,Male,18,White,,,,,
44,@kirakosarin,U.S.A,20.6m,1.4m,274.4k,19.90%,0,Actress and social media personality,Female,23,White,,,,,
45,@daviddobrik,U.S.A,20.4m,8.3m,1.9m,23.10%,0,Social media personality,Male,24,White,,,,,
46,@jasoncoffee,U.S.A,20.1m,4.8m,1.1m,23%,,,,,,,,,,
47,@laurengodwin,U.S.A,19.8m,2.2m,498.2k,22.80%,,,,,,,,,,
48,@theshilpashetty,India,19.7m,8.3m,365.5k,4.50%,,,,,,,,,,
49,@oye_indori,India,19.1m,2.3m,252.5k,11.10%,,,,,,,,,,
50,@kingbach,U.S.A,18.8m,440.1k,80.5k,18.40%,,,,,,,,,,
51,@mackenzieziegler,U.S.A,18.8m,2.4m,440.9k,18.50%,,,,,,,,,,
52,@marshmellomusic,U.S.A,18.4m,1.2m,177.9k,15.10%,,,,,,,,,,
53,@khushi.punjaban,India,18.4m,923.7k,63.3k,6.90%,,,,,,,,,,
54,@daniellecohn,U.S.A,18.3m,1.3m,247.3k,19.30%,,,,,,,,,,
55,@ondreazlopez,U.S.A,18.2m,5.3m,1.2m,22.90%,,,,,,,,,,
56,@thehypehouse,U.S.A,18.1m,3.6m,924.8k,26%,,,,,,,,,,
57,@luckydancer5454,India,18.0m,1.3m,181.4k,14.10%,,,,,,,,,,
58,@camerondallas,U.S.A,18.0m,1.2m,171.3k,14.30%,,,,,,,,,,
59,@kodyantle,U.S.A,17.7m,4.0m,611.8k,15.40%,,,,,,,,,,
60,@joeyklaasen,U.S.A,17.7m,1.9m,504.5k,26.70%,,,,,,,,,,
61,@arianagrande,U.S.A,17.5m,53.0m,7.4m,14.40%,,,,,,,,,,
62,@jordi.koalitic,Spain,17.3m,1.3m,272.7k,21.10%,,,,,,,,,,
63,@nehakakkar,India,17.2m,3.4m,414.4k,12.40%,,,,,,,,,,
64,@imkevinhart,U.S.A,17.0m,11.0m,1.5m,13.80%,,,,,,,,,,
65,@topperguild,U.S.A,17.0m,1.0m,216.4k,21.80%,,,,,,,,,,
66,@hollyh,U.K.,16.7m,421.2k,89.8k,21.60%,,,,,,,,,,
67,@zoelaverne,U.S.A,16.7m,991.5k,213.6k,22.10%,,,,,,,,,,
68,@justinbieber,U.S.A,16.5m,32.8m,3.8m,11.80%,,,,,,,,,,
69,@jashlem,Mexico,16.5m,2.8m,803.2k,28.90%,,,,,,,,,,
70,@cashbaker,U.S.A,16.4m,451.8k,119.2k,26.90%,,,,,,,,,,
71,@elrodcontreras,Mexico,16.4m,3.4m,726.5k,21.60%,,,,,,,,,,
72,@thesupercole,U.S.A,16.3m,9.9m,1.8m,18.40%,,,,,,,,,,
73,@surajpalsingh964,India,16.2m,238.7k,33.4k,14.10%,,,,,,,,,,
74,@bts_official_bighit,South Korea,16.1m,39.8m,6.8m,17.90%,1,Boy Band,Male,,East Asian,,,,,
75,@kylethomas,U.S.A,16.1m,410.1k,63.7k,15.90%,,,,,,,,,,
76,@vishalpandey_21,India,16.1m,1.1m,137.2k,12.60%,,,,,,,,,,
77,@wigofellas,U.S.A,16.1m,2.4m,534.1k,22.50%,,,,,,,,,,
78,@ignaciaa_antonia,Chile,16.0m,887.6k,215.5k,24.40%,,,,,,,,,,
79,@aashikabhatia,India,16.0m,1.6m,115.9k,7.30%,,,,,,,,,,
80,@abrazkhan91,India,15.9m,379.4k,54.4k,14.50%,,,,,,,,,,
81,@abrazkhan91,India,15.9m,379.4k,54.4k,14.50%,,,,,,,,,,
82,@jonklaasen,U.S.A,15.8m,1.6m,414.7k,26%,,,,,,,,,,
83,@annieleblanc,U.S.A,15.8m,9.5m,1.6m,17.10%,,,,,,,,,,
84,@thecardguy,U.S.A,15.6m,988.0k,216.7k,22.10%,,,,,,,,,,
85,@officialsalicerose,U.S.A,15.5m,2.2m,573.4k,26.60%,,,,,,,,,,
86,@hannahstocking,U.S.A,15.5m,2.5m,457.6k,18.40%,,,,,,,,,,
87,@sarahmagusara,Australia,15.1m,992.5k,233.1k,23.60%,,,,,,,,,,
88,@briandadeyanara,Mexico,15.0m,1.4m,414.3k,29.70%,,,,,,,,,,
89,@bhavin_333,India,14.7m,958.7k,135.0k,14.20%,,,,,,,,,,
90,@itstaylerholder,U.S.A,14.5m,3.3m,838.5k,25.70%,,,,,,,,,,
91,@nagmaa,India,14.5m,988.8k,106.7k,10.90%,,,,,,,,,,
92,@junya1gou,Japan,14.4m,2.1m,197.2k,9.70%,,,,,,,,,,
93,@mohak.narang,India,14.3m,368.1k,56.4k,15.60%,,,,,,,,,,
94,@kyliejenner,U.S.A,14.3m,33.4m,3.6m,10.90%,,,,,,,,,,
95,@angelrai07,India,14.2m,257.2k,33.2k,13.10%,,,,,,,,,,
96,@skyandtami,Spain,14.2m,495.0k,155.3k,31.50%,,,,,,,,,,
97,@cainguzman,Mexico,14.1m,503.1k,142.4k,28.40%,,,,,,,,,,
98,@domelipa,Ecuador,14.1m,5.4m,1.0m,18.70%,,,,,,,,,,
99,@vishnupriya__14,India,13.9m,369.2k,42.2k,11.60%,,,,,,,,,,
100,@twinmelody,Spain,13.9m,1.6m,366.0k,23%,,,,,,,,,,
101,@seandoesmagic,U.S.A,13.9m,1.5m,296.4k,20%,,,,,,,,,,
102,@ayushyadav7100,India,13.9m,98.5k,12.4k,12.80%,,,,,,,,,,
103,@jacquelinef_143,India,13.6m,7.6m,798.3k,10.60%,,,,,,,,,,
104,@rebeccazamolo,U.S.A,13.6m,2.3m,304.1k,13.70%,,,,,,,,,,
105,@deepakjoshi.102,India,13.5m,784.7k,104.3k,13.60%,,,,,,,,,,
106,@bhartifrozen,India,13.5m,2.0m,106.8k,5.40%,,,,,,,,,,
107,@commandofitnessclub,India,13.3m,9.3m,652.7k,7.20%,,,,,,,,,,
108,@lance210,U.S.A,13.2m,3.7m,764.5k,20.90%,,,,,,,,,,
109,@austinsprinz,U.S.A,13.2m,545.5k,74.2k,13.70%,,,,,,,,,,
110,@itsnastynaz,U.S.A,13.1m,831.1k,174.3k,21%,,,,,,,,,,
111,@dina,Russia,13.1m,1.2m,195.9k,16.40%,,,,,,,,,,
112,@.kunno,Mexico,13.0m,1.7m,381.4k,22.60%,,,,,,,,,,
113,@juliamenugarcia,Spain,13.0m,489.7k,109.9k,22.50%,,,,,,,,,,
114,@_saloniyaapa,India,12.9m,931.4k,113.7k,12.40%,,,,,,,,,,
115,@camilo,U.S.A,12.9m,7.5m,1.1m,14.80%,,,,,,,,,,
116,@payton,U.S.A,12.9m,4.9m,854.8k,18.10%,,,,,,,,,,
117,@derkslurp,U.S.A,12.9m,3.3m,959.7k,29.40%,,,,,,,,,,
118,@brycehall,U.S.A,12.9m,5.1m,966.5k,19.40%,,,,,,,,,,
119,@dameliofamilyofficial,U.S.A,12.9m,10.9m,2.3m,21.30%,,,,,,,,,,
120,@larrayeeee,U.S.A,12.9m,7.5m,1.7m,23%,,,,,,,,,,
121,@karolsevillaokay,Mexico,12.8m,2.7m,450.4k,16.80%,,,,,,,,,,
122,@maverickbaker,U.S.A,12.8m,583.8k,126.9k,21.90%,,,,,,,,,,
123,@lelepons,U.S.A,12.7m,3.7m,746.6k,20.30%,,,,,,,,,,
124,@peytoncoffee,U.S.A,12.7m,1.6m,373.5k,23.50%,,,,,,,,,,
125,@krishhhhnna,India,12.7m,3.6m,402.9k,11.40%,,,,,,,,,,
126,@beingshadabkhan,India,12.6m,534.5k,72.6k,13.70%,,,,,,,,,,
127,@alexwaarren,U.S.A,12.6m,6.2m,1.7m,27.60%,,,,,,,,,,
128,@cindy518c,South Korea,12.6m,712.8k,98.4k,14.10%,,,,,,,,,,
129,@thexhan,Australia,12.6m,883.5k,182.5k,20.90%,,,,,,,,,,
130,@sanakhan301,India,12.5m,1.4m,154.8k,11.20%,,,,,,,,,,
131,@noahschnapp,U.S.A,12.5m,9.9m,2.3m,23.70%,,,,,,,,,,
132,@memes,Ireland,12.4m,215.2k,40.9k,19.60%,,,,,,,,,,
133,@qpark,U.S.A,12.4m,6.6m,854.7k,13.20%,,,,,,,,,,
134,@linhbarbie,Vietnam,12.3m,1.0m,168.5k,17%,,,,,,,,,,
135,@leaelui,France,12.3m,1.8m,301.8k,16.90%,,,,,,,,,,
136,@itayvargas,Chile,12.3m,825.8k,251.7k,30.70%,,,,,,,,,,
137,@eliottbrown,U.S.A,12.3m,1.0m,206.3k,20.80%,,,,,,,,,,
138,@overtime,U.S.A,12.2m,751.6k,193.8k,26.20%,,,,,,,,,,
139,@wish_rathod,India,12.2m,903.7k,89.6k,10%,,,,,,,,,,
140,@larissamanoela,Brazil,12.2m,846.9k,115.3k,13.80%,,,,,,,,,,
141,@lexibrookerivera,U.S.A,12.1m,5.5m,1.2m,22%,,,,,,,,,,
142,@sunny_kalra55,India,12.1m,784.0k,102.5k,13.20%,,,,,,,,,,
143,@demibagby,U.S.A,11.9m,1.0m,227.4k,22.80%,,,,,,,,,,
144,@rybkatwinsofficial,Australia,11.8m,1.1m,200.1k,18.30%,,,,,,,,,,
145,@rominagafur,U.S.A,11.8m,1.4m,297.6k,21.40%,,,,,,,,,,
146,@sebastianbails,U.S.A,11.7m,1.3m,316.8k,24.60%,,,,,,,,,,
147,@jbalvin,U.S.A,11.7m,3.2m,527.3k,16.60%,,,,,,,,,,
148,@darianrojasc,Mexico,11.6m,6.5m,1.4m,21.70%,,,,,,,,,,
149,@nickandsienna,U.S.A,11.6m,1.2m,240.4k,20.20%,,,,,,,,,,
150,@carlosferiag,Colombia,11.6m,1.1m,278.1k,25.50%,,,,,,,,,,
151,@yashitank,India,11.6m,466.5k,66.5k,14.40%,,,,,,,,,,
152,@nba,U.S.A,11.5m,141.5k,23.1k,16.60%,,,,,,,,,,
153,@alexcasasvz,Mexico,11.5m,314.1k,80.2k,25.80%,,,,,,,,,,
154,@madisonbeer,U.S.A,11.5m,19.5m,2.7m,14.10%,,,,,,,,,,
155,@ansh_pandit,India,11.4m,1.9m,247.8k,14.20%,,,,,,,,,,
156,@jakepaul,U.S.A,11.3m,7.5m,1.3m,17.60%,,,,,,,,,,
157,@neffatibrothers,U.K.,11.3m,710.3k,164.4k,23.30%,,,,,,,,,,
158,@irfan_sy10,India,11.2m,337.9k,32.1k,9.60%,,,,,,,,,,
159,@arianalee99,U.S.A,11.1m,1.1m,281.2k,25.80%,,,,,,,,,,
160,@mrbeast,U.S.A,11.1m,3.8m,740.2k,19.70%,,,,,,,,,,
161,@sunnychopra,India,11.0m,629.0k,87.6k,14%,,,,,,,,,,
162,@noeneubanks,U.S.A,10.9m,705.2k,170.4k,24.60%,,,,,,,,,,
163,@rosssmith,U.S.A,10.9m,1.6m,358.4k,22.80%,,,,,,,,,,
164,@jlo,U.S.A,10.8m,2.3m,186.7k,8.20%,,,,,,,,,,
165,@gauravarora_5,India,10.8m,575.8k,35.9k,6.30%,,,,,,,,,,
166,@amaraquelindarawr,Colombia,10.8m,795.1k,161.1k,20.50%,,,,,,,,,,
167,@k0uvr,U.S.A,10.8m,4.4m,1.0m,23%,,,,,,,,,,
168,@mridulmadhok,India,10.7m,127.4k,10.5k,8.40%,,,,,,,,,,
169,@espn,U.S.A,10.6m,555.7k,136.6k,24.80%,,,,,,,,,,
170,@benjikrol,Spain,10.6m,1.1m,304.0k,27.90%,,,,,,,,,,
171,@littlegloves,India,10.6m,321.8k,29.4k,9.20%,,,,,,,,,,
172,@abbyrartistry,U.K.,10.5m,1.3m,337.9k,26.20%,,,,,,,,,,
173,@lianev,U.S.A,10.5m,178.8k,32.4k,18.30%,,,,,,,,,,
174,@deepikapilli,India,10.4m,704.8k,73.3k,10.50%,,,,,,,,,,
175,@dudeperfect,U.S.A,10.4m,1.7m,332.9k,19.70%,,,,,,,,,,
176,@brookemonk_,U.S.A,10.3m,1.2m,343.9k,29.10%,,,,,,,,,,
177,@loganpaul,U.S.A,10.3m,7.5m,1.2m,16.20%,,,,,,,,,,
178,@benazelart,U.S.A,10.3m,2.8m,580.3k,20.90%,,,,,,,,,,
179,@terrycrews,U.S.A,10.3m,2.4m,307.8k,13.10%,,,,,,,,,,
180,@sohail_d,India,10.3m,630.0k,106.2k,16.90%,,,,,,,,,,
181,@marcusolin,U.S.A,10.2m,2.1m,460.1k,22%,,,,,,,,,,
182,@nianaguerrero,Philippines,10.2m,1.7m,283.2k,17%,,,,,,,,,,
183,@donaldducc,U.S.A,10.2m,320.5k,59.6k,18.80%,,,,,,,,,,
184,@nessaabarrett,U.S.A,10.1m,15.7m,1.8m,11.80%,,,,,,,,,,
185,@montpantoja,Mexico,10.1m,5.4m,1.2m,22.40%,,,,,,,,,,
186,@mads.yo,U.S.A,10.1m,4.8m,924.4k,19.40%,,,,,,,,,,
187,@mirandasings,U.S.A,10.1m,723.8k,145.2k,20.50%,,,,,,,,,,
188,@yasminartdrawing,Brazil,10.0m,1.6m,419.6k,26.30%,,,,,,,,,,
189,@jaiswal_mukesh,India,10.0m,183.3k,25.0k,13.70%,,,,,,,,,,
190,@luara,U.S.A,10.0m,502.3k,107.6k,22%,,,,,,,,,,
191,@samuellopez_,U.S.A,9.9m,957.4k,205.5k,21.70%,,,,,,,,,,
192,@sandys.ss,Indonesia,9.8m,614.0k,102.7k,16.90%,,,,,,,,,,
193,@candyken,U.S.A,9.8m,873.4k,84.0k,10.20%,,,,,,,,,,
194,@bhanu1006,India,9.8m,828.3k,69.3k,8.50%,,,,,,,,,,
195,@dannapaola,Mexico,9.8m,7.4m,803.5k,11%,,,,,,,,,,
196,@dominictoliver,U.S.A,9.8m,524.2k,134.6k,25.80%,,,,,,,,,,
197,@miakhalifa,U.S.A,9.8m,1.4m,146.8k,10.70%,,,,,,,,,,
198,@alex.stemp,U.S.A,9.7m,2.5m,450.6k,18.10%,,,,,,,,,,
199,@dtay.known,U.S.A,9.7m,1.9m,298.5k,15.80%,,,,,,,,,,
200,@madi,U.S.A,9.7m,1.8m,540.5k,30.40%,,,,,,,,,,
201,@yusufbmx,India,9.6m,4.4m,336.7k,7.70%,,,,,,,,,,
202,@youneszarou,Germany,9.6m,2.4m,247.6k,10.40%,,,,,,,,,,
203,@tirullipa,Brazil,9.6m,211.1k,24.2k,11.60%,,,,,,,,,,
204,@wianmagic,South Africa,9.6m,441.6k,92.0k,20.90%,,,,,,,,,,
205,@luvanthony,U.S.A,9.6m,1.7m,405.0k,24.10%,,,,,,,,,,
206,@real.ona,U.S.A,9.5m,464.6k,85.7k,18.60%,,,,,,,,,,
207,@bijju3210,Australia,9.5m,865.1k,88.3k,10.30%,,,,,,,,,,
208,@keemokazi,U.S.A,9.5m,3.3m,608.9k,18.70%,,,,,,,,,,
209,@salavat.fidai,Russia,9.5m,414.7k,95.7k,23.30%,,,,,,,,,,
210,@juanpazurita,Mexico,9.5m,1.9m,445.3k,23.60%,,,,,,,,,,
211,@smiley_vats01,India,9.5m,149.9k,15.5k,10.50%,,,,,,,,,,
212,@jeleniewska,Poland,9.5m,942.0k,249.1k,26.60%,,,,,,,,,,
213,@ralf,Mexico,9.5m,2.7m,818.9k,30.60%,,,,,,,,,,
214,@nnursema,Turkey,9.5m,511.8k,130.8k,25.80%,,,,,,,,,,
215,@lizzo,U.S.A,9.5m,1.6m,324.9k,20.50%,,,,,,,,,,
216,@oyeitsprank,India,9.4m,912.8k,92.1k,10.20%,,,,,,,,,,
217,@guinnessworldrecords,U.K.,9.4m,977.4k,282.5k,29%,,,,,,,,,,
218,@tommyunold,U.S.A,9.4m,680.2k,181.6k,26.90%,,,,,,,,,,
219,@milliebobbybrown,U.S.A,9.3m,20.1m,4.0m,20.40%,,,,,,,,,,
220,@barstoolsports,U.S.A,9.3m,680.7k,136.9k,20.30%,,,,,,,,,,
221,@milliebobbybrown,U.S.A,9.3m,20.1m,4.0m,20.40%,,,,,,,,,,
222,@barstoolsports,U.S.A,9.3m,680.7k,136.9k,20.30%,,,,,,,,,,
223,@katjaglieson,U.S.A,9.2m,1.7m,435.7k,25.70%,,,,,,,,,,
224,@mr_malikofficial,U.A.E.,9.2m,504.1k,66.9k,13.40%,,,,,,,,,,
225,@friendlyquest,U.S.A,9.2m,871.6k,178.9k,21%,,,,,,,,,,
226,@vivekkeshari1,India,9.2m,540.6k,82.3k,16%,,,,,,,,,,
227,@afshanrooh,India,9.2m,769.9k,67.2k,8.90%,,,,,,,,,,
228,@nickelodeon,U.S.A,9.1m,158.2k,28.5k,18.30%,,,,,,,,,,
229,@sebastianyatra,Colombia,9.1m,2.4m,330.1k,13.90%,,,,,,,,,,
230,@marioaguilar,Mexico,9.1m,796.8k,183.3k,23.50%,,,,,,,,,,
231,@nathandavisjrndj,U.S.A,9.1m,1.6m,281.0k,17.90%,,,,,,,,,,
232,@mychaelade,U.S.A,9.1m,616.0k,156.2k,25.50%,,,,,,,,,,
233,@reiley,Iceland,9.1m,6.5m,1.0m,15.60%,,,,,,,,,,
234,@zhcyt,U.S.A,9.1m,2.1m,463.5k,22.20%,,,,,,,,,,
235,@nathantriska,U.S.A,9.1m,586.7k,208.9k,35.80%,,,,,,,,,,
236,@falcopunch,Germany,9.0m,536.2k,102.9k,19.40%,,,,,,,,,,
237,@mdmotivation164,India,9.0m,420.0k,40.6k,10%,,,,,,,,,,
238,@awalcreations,India,9.0m,778.3k,54.0k,7.10%,,,,,,,,,,
239,@jongmineyo,South Korea,8.9m,516.1k,95.6k,18.80%,,,,,,,,,,
240,@javiluna,U.S.A,8.9m,650.7k,151.6k,23.40%,,,,,,,,,,
241,@germangarmendia,U.S.A,8.9m,8.5m,1.5m,17.90%,,,,,,,,,,
242,@ashima.chaudhary24,India,8.9m,1.7m,188.1k,11.20%,,,,,,,,,,
243,@javiluna,U.S.A,8.9m,650.7k,151.6k,23.40%,,,,,,,,,,
244,@dangmattsmith,U.S.A,8.9m,2.4m,584.5k,24.50%,,,,,,,,,,
245,@jongmineyo,South Korea,8.9m,516.1k,95.6k,18.80%,,,,,,,,,,
246,@imgriffinjohnson,U.S.A,8.9m,1.4m,352.1k,25.60%,,,,,,,,,,
247,@rizxtarr,India,8.8m,843.4k,54.6k,6.60%,,,,,,,,,,
248,@shivangijoshi11,India,8.8m,3.9m,346.2k,9%,,,,,,,,,,
249,@camilacabello,U.S.A,8.8m,9.8m,1.4m,14.50%,,,,,,,,,,
250,@thegreatkhali8,India,8.8m,640.6k,29.6k,4.70%,,,,,,,,,,
251,@wewearcute,U.S.A,8.8m,1.3m,268.9k,20.80%,,,,,,,,,,
252,@themermaidscale,India,8.7m,2.5m,536.4k,21.70%,,,,,,,,,,
253,@aydonholley,U.S.A,8.7m,234.9k,49.9k,21.50%,,,,,,,,,,
254,@mariahandbill,U.S.A,8.7m,2.6m,571.3k,22.10%,,,,,,,,,,
255,@sherinicolee,U.S.A,8.7m,4.9m,988.6k,20.40%,,,,,,,,,,
256,@ramneeksingh1313,India,8.6m,479.1k,31.6k,6.70%,,,,,,,,,,
257,@amandacerny,U.S.A,8.6m,654.7k,95.2k,14.60%,,,,,,,,,,
258,@rahimabram,Russia,8.6m,1.6m,271.2k,17%,,,,,,,,,,
259,@johnnyorlando,U.S.A,8.6m,1.1m,245.4k,22.70%,,,,,,,,,,
260,@sarati,U.S.A,8.6m,459.5k,90.4k,19.80%,,,,,,,,,,
